deck_id,card_id
A3,1
A3,2
A3,3
A3,4
A3,5
A3,6
A3,7
A3,8
A3,9
A3,10
A3,11
A3,12
A3,13
A3,14
A3,15
A3,16
A3,17
A3,18
A3,19
A3,20
A3,21
A3,22
A3,23
A3,24
A3,25
A3,26
A3,27
A3,28
A3,29
A3,30
A3,31
A3,32
A3,33
A3,34
A3,35
A3,36
A3,37
A3,38
A3,39
A3,40
A3,41
A3,42
A3,43
A3,44
A3,45
A3,46
A3,47
A3,48
A3,49
A3,50
A3,51
A3,52
A3,53
A3,54
A3,55
A3,56
A3,57
A3,58
A3,59
A3,60
A3,61
A3,62
A3,63
A3,64
A3,65
A3,66
A3,67
A3,68
A3,69
A3,70
A3,71
A3,72
A3,73
A3,74
A3,75
A3,76
A3,77
A3,78
A3,79
A3,80
A3,81
A3,82
A3,83
A3,84
A3,85
A3,86
A3,87
A3,88
A3,89
A3,90
A3,91
A3,92
A3,93
A3,94
A3,95
A3,96
A3,97
A3,98
A3,99
A3,100
A3,101
A3,102
A3,103
A3,104
A3,105
A3,106
A3,107
A3,108
A3,109
A3,110
A3,111
A3,112
A3,113
A3,114
A3,115
A3,116
A3,117
A3,118
A3,119
A3,120
A3,121
A3,122
A3,123
A3,124
A3,125
A3,126
A3,127
A3,128
A3,129
A3,130
A3,131
A3,132
A3,133
A3,134
A3,135
A3,136
A3,137
A3,138
A3,139
A3,140
A3,141
A3,142
A3,143
A3,144
A3,145
A3,146
A3,147
A3,148
A3,149
A3,150
A3,151
A3,152
A3,153
A3,154
A3,155
